c2,c3,c6,c7,c8,c9
0.64,0.45,0.67,0.61,0.66,0
0.81,0.52,0.57,0.78,0.8,0
0.73,0.26,0.57,0.75,0.78,0
0.49,0.61,0.56,0.71,0.74,0
0.88,0.42,0.52,0.73,0.75,0
0.84,0.54,0.75,0.92,0.7,0
0.63,0.51,0.64,0.72,0.76,0
0.86,0.55,0.63,0.81,0.83,0
0.79,0.54,0.5,0.66,0.68,0
0.57,0.38,0.06,0.49,0.33,0
0.78,0.44,0.45,0.73,0.68,0
0.74,0.49,0.42,0.54,0.36,1
0.7,0.61,0.56,0.52,0.43,1
0.66,0.86,0.34,0.41,0.36,1
0.73,0.78,0.58,0.51,0.31,1
0.65,0.57,0.47,0.47,0.51,1
0.72,0.86,0.17,0.55,0.21,1
0.67,0.7,0.46,0.45,0.33,1
0.67,0.81,0.54,0.49,0.23,1
0.67,0.61,0.51,0.37,0.38,1
0.63,1.0,0.35,0.51,0.49,1
0.57,0.59,0.39,0.47,0.33,1
0.71,0.71,0.4,0.54,0.39,1
0.66,0.74,0.31,0.38,0.43,1
0.67,0.81,0.25,0.42,0.25,1
0.64,0.72,0.49,0.42,0.19,1
0.68,0.82,0.38,0.65,0.56,1
0.32,0.39,0.53,0.28,0.38,1
0.7,0.64,0.47,0.51,0.47,1
0.63,0.57,0.49,0.7,0.2,1
0.74,0.82,0.49,0.49,0.41,1
0.63,0.86,0.39,0.47,0.34,1
0.63,0.83,0.4,0.39,0.19,1
0.63,0.71,0.6,0.4,0.39,1
0.71,0.86,0.4,0.54,0.32,1
0.68,0.78,0.43,0.44,0.42,1
0.64,0.84,0.37,0.45,0.4,1
0.74,0.47,0.5,0.57,0.42,1
0.75,0.84,0.35,0.52,0.33,1
0.63,0.65,0.39,0.44,0.35,1
0.69,0.67,0.3,0.39,0.24,1
0.7,0.71,0.42,0.84,0.85,1
0.69,0.8,0.46,0.57,0.26,1
0.64,0.66,0.41,0.39,0.2,1
0.63,0.8,0.46,0.31,0.29,1
0.66,0.71,0.41,0.5,0.35,1
0.69,0.59,0.46,0.44,0.52,1
0.68,0.67,0.49,0.4,0.34,1
0.64,0.78,0.5,0.36,0.38,1
0.62,0.78,0.47,0.49,0.54,1
0.76,0.73,0.44,0.39,0.39,1
0.64,0.81,0.37,0.39,0.44,1
0.29,0.39,0.52,0.4,0.48,1
0.62,0.83,0.46,0.36,0.4,1
0.56,0.54,0.43,0.37,0.3,1
0.69,0.66,0.41,0.5,0.25,1
0.69,0.65,0.63,0.48,0.41,1
0.43,0.59,0.52,0.49,0.56,1
0.74,0.56,0.47,0.68,0.3,1
0.71,0.57,0.48,0.35,0.32,1
0.61,0.6,0.44,0.39,0.38,1
0.59,0.61,0.42,0.42,0.37,1
0.74,0.74,0.31,0.53,0.52,1
