c2,c3,c6,c7,c8,c9
0.07,0.4,0.54,0.35,0.44,cp
0.2,0.44,0.46,0.51,0.57,cp
0.25,0.4,0.46,0.44,0.52,cp
0.29,0.37,0.48,0.44,0.52,cp
0.25,0.4,0.47,0.33,0.42,cp
0.33,0.45,0.52,0.32,0.41,cp
0.3,0.37,0.59,0.41,0.49,cp
0.17,0.38,0.45,0.42,0.5,cp
0.22,0.36,0.35,0.39,0.47,cp
0.36,0.41,0.48,0.47,0.54,cp
0.24,0.43,0.54,0.52,0.59,cp
0.35,0.48,0.56,0.4,0.48,cp
0.29,0.41,0.48,0.38,0.46,cp
0.4,0.46,0.52,0.49,0.56,cp
0.34,0.46,0.52,0.35,0.44,cp
0.34,0.35,0.51,0.49,0.56,cp
0.17,0.39,0.53,0.3,0.39,cp
0.37,0.44,0.42,0.39,0.47,cp
0.0,0.38,0.42,0.48,0.55,cp
0.44,0.35,0.44,0.52,0.59,cp
0.27,0.42,0.37,0.38,0.43,cp
0.16,0.43,0.54,0.27,0.37,cp
0.29,0.39,0.52,0.4,0.48,pp
