c2,c3,c6,c7,c8,c9
0.84,0.44,0.48,0.71,0.74,im
0.74,0.44,0.55,0.88,0.89,im
0.71,0.4,0.71,0.7,0.74,im
0.83,0.37,0.61,0.71,0.74,im
0.63,0.54,0.65,0.79,0.81,im
0.7,0.4,0.56,0.86,0.83,im
0.6,0.5,0.54,0.77,0.8,im
0.89,0.55,0.51,0.72,0.76,im
0.7,0.46,0.56,0.78,0.73,im
0.68,0.51,0.71,0.75,0.78,im
0.69,0.39,0.57,0.76,0.79,im
0.72,0.42,0.65,0.77,0.79,imU
0.79,0.41,0.66,0.81,0.83,imU
0.83,0.48,0.65,0.76,0.79,imU
0.69,0.43,0.59,0.74,0.77,imU
0.79,0.36,0.46,0.82,0.7,imU
0.78,0.33,0.57,0.77,0.79,imU
0.75,0.37,0.64,0.7,0.74,imU
0.59,0.29,0.64,0.75,0.77,imU
0.84,0.49,0.55,0.78,0.74,imU
0.77,0.55,0.51,0.78,0.74,imU
0.63,0.42,0.48,0.77,0.8,imU
0.62,0.42,0.58,0.79,0.81,imU
0.86,0.39,0.59,0.89,0.9,imU
0.81,0.53,0.57,0.87,0.88,imU
0.87,0.49,0.61,0.76,0.79,imU
0.7,0.53,0.7,0.86,0.87,imU
0.81,0.52,0.57,0.78,0.8,imU
0.73,0.26,0.57,0.75,0.78,imU
0.88,0.42,0.52,0.73,0.75,imU
0.84,0.54,0.75,0.92,0.7,imU
0.86,0.55,0.63,0.81,0.83,imU
