c2,c3,c6,c7,c8,c9
0.59,0.49,0.52,0.45,0.36,cp
0.67,0.39,0.36,0.38,0.46,cp
0.56,0.51,0.34,0.37,0.46,cp
0.65,0.47,0.59,0.3,0.4,cp
0.61,0.45,0.48,0.35,0.41,cp
0.52,0.57,0.42,0.47,0.54,cp
0.64,0.76,0.45,0.35,0.38,cp
0.57,0.54,0.37,0.28,0.33,cp
0.74,0.49,0.42,0.54,0.36,pp
0.7,0.61,0.56,0.52,0.43,pp
0.66,0.86,0.34,0.41,0.36,pp
0.65,0.57,0.47,0.47,0.51,pp
0.67,0.7,0.46,0.45,0.33,pp
0.67,0.61,0.51,0.37,0.38,pp
0.63,1.0,0.35,0.51,0.49,pp
0.57,0.59,0.39,0.47,0.33,pp
0.71,0.71,0.4,0.54,0.39,pp
0.66,0.74,0.31,0.38,0.43,pp
0.7,0.64,0.47,0.51,0.47,pp
0.74,0.82,0.49,0.49,0.41,pp
0.63,0.86,0.39,0.47,0.34,pp
0.63,0.71,0.6,0.4,0.39,pp
0.68,0.78,0.43,0.44,0.42,pp
0.64,0.84,0.37,0.45,0.4,pp
0.74,0.47,0.5,0.57,0.42,pp
0.63,0.65,0.39,0.44,0.35,pp
0.63,0.8,0.46,0.31,0.29,pp
0.66,0.71,0.41,0.5,0.35,pp
0.69,0.59,0.46,0.44,0.52,pp
0.68,0.67,0.49,0.4,0.34,pp
0.64,0.78,0.5,0.36,0.38,pp
0.62,0.78,0.47,0.49,0.54,pp
0.76,0.73,0.44,0.39,0.39,pp
0.64,0.81,0.37,0.39,0.44,pp
0.62,0.83,0.46,0.36,0.4,pp
0.56,0.54,0.43,0.37,0.3,pp
0.69,0.65,0.63,0.48,0.41,pp
0.71,0.57,0.48,0.35,0.32,pp
0.61,0.6,0.44,0.39,0.38,pp
0.59,0.61,0.42,0.42,0.37,pp
0.74,0.74,0.31,0.53,0.52,pp
