c2,c3,c6,c7,c8,c9
0.44,0.35,0.55,0.55,0.61,cp
0.52,0.39,0.65,0.71,0.73,im
0.72,0.46,0.51,0.66,0.7,im
0.64,0.58,0.48,0.78,0.73,im
0.5,0.37,0.66,0.64,0.69,im
0.66,0.53,0.59,0.66,0.66,im
0.6,0.61,0.54,0.67,0.71,im
0.74,0.7,0.66,0.65,0.69,im
0.61,0.52,0.54,0.67,0.52,im
0.63,0.65,0.66,0.67,0.71,im
0.51,0.4,0.57,0.62,0.67,im
0.5,0.57,0.71,0.61,0.66,im
0.58,0.55,0.57,0.7,0.74,im
0.63,0.75,0.64,0.73,0.66,im
0.67,0.37,0.54,0.64,0.68,imU
0.66,0.48,0.54,0.7,0.74,imU
0.64,0.46,0.48,0.73,0.76,imU
0.76,0.71,0.5,0.71,0.75,imU
0.81,0.44,0.42,0.67,0.68,imU
0.58,0.6,0.59,0.73,0.76,imU
0.76,0.41,0.5,0.59,0.62,imU
0.64,0.45,0.67,0.61,0.66,imU
0.63,0.51,0.64,0.72,0.76,imU
0.79,0.54,0.5,0.66,0.68,imU
0.78,0.44,0.45,0.73,0.68,imU
0.68,0.82,0.38,0.65,0.56,pp
