c2,c3,c6,c7,c8,c9
0.51,0.54,0.41,0.34,0.43,2
0.21,0.51,0.5,0.32,0.41,2
0.36,0.54,0.41,0.38,0.46,2
0.29,0.52,0.42,0.29,0.39,2
0.4,0.5,0.45,0.39,0.47,2
0.37,0.52,0.42,0.42,0.36,2
0.23,0.58,0.37,0.53,0.59,2
0.44,0.56,0.5,0.46,0.54,2
0.37,0.5,0.42,0.36,0.45,2
0.41,0.48,0.51,0.44,0.51,2
0.34,0.55,0.58,0.31,0.41,2
0.36,0.56,0.43,0.45,0.53,2
0.5,0.49,0.49,0.46,0.53,2
0.24,0.57,0.63,0.34,0.43,2
0.26,0.5,0.44,0.32,0.41,2
0.44,0.49,0.39,0.38,0.4,2
0.25,0.51,0.37,0.42,0.5,2
0.34,0.51,0.44,0.37,0.46,2
0.4,0.46,0.42,0.35,0.44,2
0.17,0.52,0.49,0.37,0.46,2
0.06,0.61,0.49,0.92,0.37,3
0.44,0.52,0.43,0.47,0.54,3
0.16,0.51,0.33,0.39,0.48,3
0.36,0.45,0.38,0.79,0.17,3
0.0,0.51,0.35,0.67,0.44,3
0.1,0.49,0.41,0.67,0.21,3
0.3,0.51,0.42,0.61,0.34,3
0.43,0.59,0.52,0.49,0.56,1
