c2,c3,c6,c7,c8,c9
0.23,0.48,0.59,0.88,0.89,3
0.34,0.49,0.58,0.85,0.8,3
0.43,0.4,0.58,0.75,0.78,3
0.27,0.35,0.51,0.77,0.79,3
0.29,0.47,0.71,0.65,0.69,3
0.12,0.67,0.74,0.58,0.63,3
0.4,0.5,0.65,0.82,0.84,3
0.48,0.45,0.6,0.78,0.8,3
0.47,0.55,0.58,0.71,0.75,3
0.33,0.56,0.33,0.78,0.8,3
0.47,0.59,0.52,0.76,0.79,3
0.49,0.42,0.53,0.79,0.81,3
0.31,0.5,0.57,0.84,0.85,3
0.45,0.4,0.61,0.74,0.77,3
0.2,0.46,0.57,0.78,0.81,3
0.12,0.43,0.63,0.7,0.74,3
0.33,0.37,0.46,0.65,0.69,3
0.41,0.51,0.53,0.75,0.78,3
0.34,0.67,0.52,0.76,0.79,3
0.37,0.47,0.39,0.76,0.79,3
0.36,0.47,0.51,0.69,0.72,3
0.39,0.41,0.52,0.72,0.75,3
0.35,0.51,0.61,0.71,0.74,3
0.31,0.44,0.5,0.79,0.82,3
0.48,0.49,0.52,0.77,0.71,3
0.11,0.5,0.58,0.72,0.68,3
0.52,0.54,0.62,0.76,0.79,3
0.47,0.46,0.62,0.74,0.77,0
0.49,0.61,0.56,0.71,0.74,0
