c2,c3,c6,c7,c8,c9
0.65,0.55,0.34,0.37,0.28,cp
0.46,0.59,0.36,0.76,0.23,im
0.61,0.47,0.0,0.8,0.32,im
0.57,0.38,0.06,0.49,0.33,imU
0.73,0.78,0.58,0.51,0.31,pp
0.72,0.86,0.17,0.55,0.21,pp
0.67,0.81,0.54,0.49,0.23,pp
0.67,0.81,0.25,0.42,0.25,pp
0.64,0.72,0.49,0.42,0.19,pp
0.63,0.57,0.49,0.7,0.2,pp
0.63,0.83,0.4,0.39,0.19,pp
0.71,0.86,0.4,0.54,0.32,pp
0.75,0.84,0.35,0.52,0.33,pp
0.69,0.67,0.3,0.39,0.24,pp
0.69,0.8,0.46,0.57,0.26,pp
0.64,0.66,0.41,0.39,0.2,pp
0.69,0.66,0.41,0.5,0.25,pp
0.74,0.56,0.47,0.68,0.3,pp
